director,id
andrew bergman,41550
stephen sommers,7775
ray müller,226963
roger allers,15812
rob minkoff,18898
bernardo bertolucci,4956
chuck russell,26713
alan rudolph,72427
ben stiller,7399
donald petrie,18281
robert allan ackerman,83588
curtis hanson,323
jan de bont,2209
ron underwood,33485
james cameron,2710
luis mandoki,46085
damian harris,42301
suri krishnamma,158634
jefery levy,72125
keenen ivory wayans,35689
robert lee king,133183
brian sloan,1066114
raoul o'connell,1087439
yves angelo,234793
russ meyer,4590
doug mchenry,67896
dave borthwick,80537
steven e. de souza,1726
wallace wolodarsky,486
michael a. nickles,126837
paul warner,1142481
vincent robert,532207
theodore thomas,129216
lucas platt,1382436
ross kagan marks,1385254
paul williams,220152
robert wuhl,4040
roberto sneider,16401
jack baxter,223910
jefri aalmuhammed,1410160
andrew morahan,53599
michael corrente,77076
john g. avildsen,16513
jeff pollack,88060
thomas schlamme,15106
michael lehmann,7145
paul michael glaser,12988
jonathan kaplan,42171
whit stillman,78188
bill forsyth,68687
john landis,4610
caroline thompson,1901
stephen hopkins,2042
tony richardson,32765
jennifer chambers lynch,14800
robert de niro,380
adam resnick,57107
john whitesell,61175
brian de palma,1150
paul weiland,66548
mick jackson,8843
steve barron,18308
richard rush,21806
michael ritchie,12964
gregg champion,27236
marco brambilla,58838
bruce brown,86
carl reiner,1895
chen kaige,20640
peter weir,2690
alek keshishian,50949
steve kloves,10967
john irvin,17784
simon wincer,18254
boaz yakin,52358
rose troche,172993
bruce beresford,5696
sidney lumet,39996
jim abrahams,12936
julianna lavin,94996
christopher monger,65859
bille august,19684
eric meza,77733
joel coen,1223
james l. brooks,3388
"daniel petrie, jr.",774
jim sheridan,53334
matty rich,230059
steven spielberg,488
dominic sena,58498
roger avary,8297
daniel petrie,40549
james lapine,90037
paul hogan,57147
greg coote,71192
david cronenberg,224
stuart baird,2523
nagisa ōshima,46230
tom noonan,119232
anthony minghella,2239
mike leigh,65452
michael tolkin,16939
sally potter,57206
jonathan demme,16294
jane campion,10757
stuart orme,29482
mel smith,141450
penny marshall,14911
philip kaufman,648
alan parker,9168
fred dekker,44056
peter medak,21377
geoffrey wright,65026
victor nunez,138322
tim hunter,15858
cyril collard,127283
steven zaillian,2260
chris menges,8969
john waters,10367
russell mulcahy,52968
richard attenborough,4786
gillies mackinnon,33405
steve rash,54590
rowdy herrington,63943
arthur joffé,111687
annabel jankel,58164
rocky morton,58165
deran sarafian,45645
françois girard,78012
andrew fleming,41549
henry selick,57646
george p. cosmatos,16566
heywood gould,53387
d.a. pennebaker,21113
chris hegedus,115891
pixote hunt,74299
maurice hunt,1164376
jerry ciccoritti,1212571
jennifer warren,70241
mark malone,85547
todd solondz,66605
claude berri,20718
dennis hopper,2778
guillermo del toro,10828
daniel algrant,69696
pedro almodóvar,309
gurinder chadha,6220
andrew scheinman,3030
åke sandgren,91565
eva sereny,1006705
lina wertmüller,26265
rémy duchemin,1354907
george t. miller,1174031
ricky tognazzi,105114
michael austin,67756
rob epstein,109402
jeffrey friedman,109403
nanni moretti,69488
maría luisa bemberg,1066960
betty thomas,31024
ron clements,15810
john musker,15811
kevin costner,1269
steve cohen,589306
david hand,5446
gary trousdale,62047
kirk wise,62048
hamilton luske,11429
